,moc_id,state_district,chamber,name,party,twitter_handle
0,1,Alabama,U.S. Senator,"Shelby, Richard",R,@SenShelby
1,2,Alabama,U.S. Senator,"Tuberville, Tommy",R,@Ttuberville
2,3,Alabama 1st District,U.S. Representative,"Carl, Jerry",R,@RepJerryCarl
4,5,Alabama 3rd District,U.S. Representative,"Rogers, Mike",R,@RepMikeRogers
5,6,Alabama 4th District,U.S. Representative,"Aderholt, Robert",R,@Robert_Aderholt
7,8,Alabama 6th District,U.S. Representative,"Palmer, Gary",R,@USRepGaryPalmer
9,10,Alaska,U.S. Senator,"Sullivan, Dan",R,@SenDanSullivan
10,11,Alaska,U.S. Senator,"Murkowski, Lisa",R,@lisamurkowski
11,12,Alaska At-Large,U.S. Representative,"Young, Don",R,@RepDonYoung
13,14,Arizona,U.S. Senator,"Kelly, Mark",D,@SenMarkKelly
14,15,Arizona,U.S. Senator,"Sinema, Kyrsten",D,@SenatorSinema
17,18,Arizona 3rd District,U.S. Representative,"Grijalva, Raul",D,@RepRaulGrijalva
18,19,Arizona 4th District,U.S. Representative,"Gosar, Paul A.",R,@RepGosar
19,20,Arizona 5th District,U.S. Representative,"Biggs, Andy",R,@AndyBiggs4AZ
21,22,Arizona 7th District,U.S. Representative,"Gallego, Ruben",D,@RepRubenGallego
22,23,Arizona 8th District,U.S. Representative,"Lesko, Debbie ",R,@RepDLesko
23,24,Arizona 9th District,U.S. Representative,"Stanton, Greg",D,@RepGregStanton
24,25,Arkansas,U.S. Senator,"Cotton, Tom",R,@SenTomCotton
25,26,Arkansas,U.S. Senator,"Boozman, John",R,@JohnBoozman
27,28,Arkansas 2nd District,U.S. Representative,"Hill, French",R,@RepFrenchHill
29,30,Arkansas 4th District,U.S. Representative,"Westerman, Bruce",R,@RepWesterman
30,31,California,U.S. Senator,"Feinstein, Dianne",D,@SenFeinstein
31,32,California,U.S. Senator,"Padilla, Alex",D,@KamalaHarris
32,33,California 1st District,U.S. Representative,"LaMalfa, Doug",R,@RepLaMalfa
33,34,California 2nd District,U.S. Representative,"Huffman, Jared",D,@RepHuffman
34,35,California 3rd District,U.S. Representative,"Garamendi, John",D,@RepGaramendi
35,36,California 4th District,U.S. Representative,"McClintock, Tom",R,@RepMcClintock
36,37,California 5th District,U.S. Representative,"Thompson, Mike",D,@RepThompson
38,39,California 7th District,U.S. Representative,"Bera, Ami",D,@RepBera
39,40,California 8th District,U.S. Representative,"Obernolte, Jay",R,@JayObernolte
40,41,California 9th District,U.S. Representative,"McNerney, Jerry",D,@RepMcNerney
41,42,California 10th District,U.S. Representative,"Harder, Josh",D,@RepJoshHarder
42,43,California 11th District,U.S. Representative,"DeSaulnier, Mark",D,@RepDeSaulnier
43,44,California 12th District,U.S. Representative,"Pelosi, Nancy",D,@SpeakerPelosi
45,46,California 14th District,U.S. Representative,"Speier, Jackie",D,@RepSpeier
46,47,California 15th District,U.S. Representative,"Swalwell, Eric",D,@RepSwalwell
47,48,California 16th District,U.S. Representative,"Costa, Jim",D,@RepJimCosta
48,49,California 17th District,U.S. Representative,"Khanna, Ro",D,@RoKhannaUSA
49,50,California 18th District,U.S. Representative,"Eshoo, Anna G.",D,@RepAnnaEshoo
51,52,California 20th District,U.S. Representative,"Panetta, Jimmy",D,@JimmyPanetta
53,54,California 22nd District,U.S. Representative,Vacant,,
54,55,California 23rd District,U.S. Representative,"McCarthy, Kevin",R,@GOPLeader
55,56,California 24th District,U.S. Representative,"Carbajal, Salud",D,@CarbajalSalud
56,57,California 25th District,U.S. Representative,"Garcia, Mike",R,@MikeGarcia2020
